"TABLE CP-4. Average Tuition and Fees (Enrollment-Weighted) at Public Institutions by Sector and College Board Region in Current Dollars and in 2025 Dollars, 1990-91 to 2025-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trends in College Pricing 2025
Public Two-Year (in Current Dollars),,,,,,,,Public Two-Year (in 2025 Dollars),,,,,,,,Public Four-Year In-State (in Current Dollars),,,,,,,,Public Four-Year In-State (in 2024 Dollars),,,,,,,,research.collegeboard.org/trends
Academic Year,National,Middle States,Midwest,New England,South,Southwest,West,Academic Year,National,Middle States,Midwest,New England,South,Southwest,West,Academic Year,National,Middle States,Midwest,New England,South,Southwest,West,Academic Year,National,Middle States,Midwest,New England,South,Southwest,West,
04-05,2080,3220,2550,3140,1950,1510,1290,04-05,3550,5490,4350,5350,3320,2570,2200,04-05,5130,6290,6070,6880,4130,4690,4120,04-05,8740,10720,10350,11730,7040,7990,7020,
05-06,2180,3360,2660,3270,2080,1610,1320,05-06,3590,5540,4390,5390,3430,2650,2180,05-06,5490,6600,6570,7260,4430,5040,4470,05-06,9050,10880,10830,11970,7300,8310,7370,
06-07,2270,3480,2840,3330,2150,1690,1310,06-07,3630,5560,4540,5320,3430,2700,2090,06-07,5800,6860,6930,7670,4730,5540,4650,06-07,9260,10960,11070,12250,7550,8850,7430,
07-08,2290,3410,2950,3540,2210,1740,1250,07-08,3560,5300,4580,5500,3430,2700,1940,07-08,6190,7250,7380,8120,5020,5980,5030,07-08,9610,11260,11460,12610,7800,9290,7810,
08-09,2380,3530,3070,3690,2340,1780,1290,08-09,3560,5280,4590,5520,3500,2660,1930,08-09,6600,7570,7790,8630,5430,6450,5470,08-09,9870,11320,11650,12910,8120,9650,8180,
09-10,2570,3720,3150,3980,2550,1860,1530,09-10,3860,5580,4730,5970,3830,2790,2300,09-10,7070,8000,8120,9380,5780,6710,6310,09-10,10610,12010,12190,14080,8670,10070,9470,
10-11,2740,3810,3340,4260,2810,1970,1640,10-11,4050,5630,4930,6290,4150,2910,2420,10-11,7630,8410,8530,9840,6470,7100,7140,10-11,11270,12420,12600,14530,9550,10480,10540,
11-12,2970,4090,3480,4420,3090,2150,1980,11-12,4250,5850,4980,6330,4420,3080,2830,11-12,8280,8910,9010,10500,7140,7430,8260,11-12,11850,12750,12900,15030,10220,10640,11820,
12-13,3150,4260,3630,4620,3240,2250,2290,12-13,4420,5970,5090,6480,4540,3160,3210,12-13,8650,9210,9370,11030,7640,7730,8560,12-13,12130,12920,13140,15470,10710,10840,12000,
13-14,3240,4420,3760,4690,3360,2330,2320,13-14,4480,6110,5200,6480,4640,3220,3210,13-14,8890,9430,9570,11220,8040,7950,8730,13-14,12290,13030,13230,15510,11110,10990,12070,
14-15,3340,4640,3900,4800,3480,2430,2430,14-15,4540,6310,5300,6530,4730,3310,3310,14-15,9150,9790,9740,11460,8370,8280,8910,14-15,12450,13320,13250,15590,11380,11260,12120,
15-16,3400,4850,4020,5070,3580,2490,2450,15-16,4620,6590,5460,6890,4860,3380,3330,15-16,9430,10090,9940,11970,8730,8620,9050,15-16,12810,13710,13500,16260,11860,11710,12290,
16-17,3460,4990,4090,5170,3680,2610,2320,16-17,4640,6690,5490,6940,4940,3500,3110,16-17,9670,10410,10210,12510,8960,9010,9090,16-17,12970,13970,13700,16780,12020,12090,12190,
17-18,3540,5120,4220,5370,3770,2740,2350,17-18,4650,6730,5540,7050,4950,3600,3090,17-18,9980,10730,10430,12960,9280,9370,9530,17-18,13110,14090,13700,17020,12190,12310,12520,
18-19,3630,5290,4340,5510,3850,2800,2410,18-19,4650,6780,5570,7070,4940,3590,3090,18-19,10210,11020,10670,13420,9440,9600,9740,18-19,13090,14130,13680,17210,12100,12310,12490,
19-20,3700,5410,4460,5650,3910,2920,2440,19-20,4660,6810,5620,7120,4920,3680,3070,19-20,10440,11280,10970,13960,9590,9980,9880,19-20,13150,14210,13820,17580,12080,12570,12440,
20-21,3750,5500,4650,5760,3910,3020,2460,20-21,4670,6840,5790,7170,4860,3760,3060,20-21,10570,11330,11170,14310,9650,10300,10030,20-21,13150,14100,13900,17800,12010,12810,12480,
21-22,3800,5550,4760,5800,3940,3040,2520,21-22,4520,6590,5660,6890,4680,3610,2990,21-22,10750,11570,11430,14520,9760,10530,10120,21-22,12770,13750,13580,17250,11600,12510,12030,
22-23,3890,5610,4890,5890,3960,3120,2560,22-23,4280,6170,5380,6480,4360,3430,2820,22-23,10990,11750,11740,14900,9780,10650,10430,22-23,12090,12930,12920,16390,10760,11720,11480,
23-24,3950,5790,4980,5920,4040,3310,2610,23-24,4170,6120,5260,6260,4270,3500,2760,23-24,11310,12230,12250,15430,10010,10770,12230,23-24,11950,12920,12940,16310,10580,11380,12920,
24-25,4040,5930,5120,6210,4120,3390,2660,24-25,4150,6090,5260,6370,4230,3480,2730,24-25,11610,12520,12630,15890,10180,10890,11360,24-25,11920,12850,12960,16310,10450,11180,11660,
25-26,4150,6110,5270,6340,4250,3480,2720,25-26,4150,6110,5270,6340,4250,3480,2720,25-26,11950,12930,13060,16360,10390,10960,11870,25-26,11950,12930,13060,16360,10390,10960,11870,
Academic Year,National,Middle States,Midwest,New England,South,Southwest,West,Academic Year,National,Middle States,Midwest,New England,South,Southwest,West,Academic Year,National,Middle States,Midwest,New England,South,Southwest,West,Academic Year,National,Middle States,Midwest,New England,South,Southwest,West,
NOTE: Average tuition and fee prices reflect in-district charges for public two-year institutions and in-state charges for public four-year institutions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: The College Board, Annual Survey of Colleges; NCES, IPEDS Fall Enrollment data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This table was prepared in October 2025.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
