"TABLE CP-2. Average Tuition and Fees (Enrollment-Weighted) and Housing and Food in Current Dollars and in 2024 Dollars, 1971-72 to 2025-26",,,,,,,,,,,Trends in College Pricing 2025
,Tuition and Fees in 2025 Dollars,,,,,,Tuition and Fees and Housing and Food in 2025 Dollars,,,,research.collegeboard.org/trends
14-15,42540,2.1613832853025983E-2,12450,1.3018714401952902E-2,4540,1.3392857142857206E-2,57740,1.9961137608196511E-2,25750,1.3779527559055094E-2,
15-16,43930,3.2675129290079985E-2,12810,2.8915662650602414E-2,4620,1.7621145374449254E-2,59610,3.2386560443366852E-2,26590,3.2621359223300894E-2,
16-17,44940,2.2991122239927053E-2,12970,1.2490241998438734E-2,4640,4.3290043290042934E-3,60840,2.0634121791645699E-2,27030,1.6547574276043697E-2,
17-18,45590,1.446372941700047E-2,13110,1.0794140323824308E-2,4650,2.1551724137931494E-3,61740,1.4792899408283988E-2,27310,1.0358860525342184E-2,
18-19,45750,3.5095415661330343E-3,13090,-1.5255530129671957E-3,4650,0,61920,2.9154518950438302E-3,27440,4.7601611131453669E-3,
19-20,46450,1.5300546448087537E-2,13150,4.583651642475095E-3,4660,2.1505376344086446E-3,62810,1.4373385012919959E-2,27640,7.2886297376093534E-3,
20-21,46370,-1.7222820236814096E-3,13150,0,4670,2.1459227467810482E-3,62930,1.9105238019423432E-3,27730,3.2561505065122898E-3,
21-22,45240,-2.4369204226870833E-2,12770,-2.8897338403041872E-2,4520,-3.2119914346895095E-2,61420,-2.3994914984903915E-2,26970,-2.7407140281283771E-2,
22-23,43940,-2.8735632183908066E-2,12090,-5.324980422866088E-2,4280,-5.3097345132743334E-2,59380,-3.3213936828394686E-2,25640,-4.9314052651093787E-2,
23-24,44110,3.8689121529358328E-3,11950,-1.1579818031430933E-2,4170,-2.5700934579439227E-2,59590,3.5365442910071376E-3,25450,-7.4102964118564207E-3,
24-25,44390,6.3477669462705943E-3,11920,-2.510460251046065E-3,4150,-4.7961630695443347E-3,60050,7.7194160093976283E-3,25580,5.1080550098232536E-3,
25-26,45000,1.3741833746339305E-2,11950,2.5167785234898599E-3,4150,0,60920,1.4487926727726919E-2,25850,1.0555121188428496E-2,
,Tuition and Fees in Current Dollars,,,,,,Tuition and Fees and Housing and Food in Current Dollars,,,,
Academic Year,Private Nonprofit Four-Year,One-Year % Change,Public Four-Year,One-Year % Change,Public Two-Year,One-Year % Change,Private Nonprofit Four-Year,One-Year % Change,Public Four-Year,One-Year % Change,
71-72,1830,—,430,—,190,—,2930,—,1410,—,
72-73,1950,6.5573770491803351E-2,500,0.16279069767441867,230,0.21052631578947367,3090,5.4607508532423132E-2,1550,9.9290780141843893E-2,
73-74,2050,5.1282051282051322E-2,510,2.0000000000000018E-2,270,0.17391304347826098,3220,4.2071197411003292E-2,1600,3.2258064516129004E-2,
74-75,2130,3.9024390243902474E-2,510,0,280,3.7037037037036979E-2,3420,6.211180124223592E-2,1650,3.125E-2,
75-76,2290,7.5117370892018753E-2,540,5.8823529411764719E-2,250,-0.1071428571428571,3680,7.6023391812865437E-2,1780,7.8787878787878851E-2,
76-77,2530,0.10480349344978168,620,0.14814814814814814,280,0.12000000000000011,3980,8.1521739130434812E-2,1940,8.98876404494382E-2,
77-78,2700,6.7193675889328119E-2,660,6.4516129032258007E-2,310,0.10714285714285721,4240,6.5326633165829096E-2,2040,5.1546391752577359E-2,
78-79,2960,9.6296296296296324E-2,690,4.5454545454545414E-2,330,6.4516129032258007E-2,4610,8.7264150943396235E-2,2150,5.3921568627451011E-2,
79-80,3230,9.1216216216216228E-2,740,7.2463768115942129E-2,360,9.0909090909090828E-2,5010,8.6767895878524959E-2,2330,8.3720930232558111E-2,
80-81,3620,0.12074303405572762,800,8.1081081081081141E-2,390,8.3333333333333259E-2,5590,0.11576846307385225,2550,9.4420600858369008E-2,
81-82,4110,0.13535911602209949,910,0.13749999999999996,430,0.10256410256410264,6330,0.1323792486583184,2870,0.12549019607843137,
82-83,4640,0.12895377128953767,1030,0.13186813186813184,470,9.3023255813953432E-2,7130,0.12638230647709325,3200,0.11498257839721249,
83-84,5090,9.6982758620689724E-2,1150,0.11650485436893199,530,0.12765957446808507,7760,8.8359046283309928E-2,3430,7.1874999999999911E-2,
84-85,5560,9.2337917485265208E-2,1230,6.956521739130439E-2,580,9.4339622641509413E-2,8450,8.8917525773195782E-2,3680,7.2886297376093312E-2,
85-86,6120,0.10071942446043169,1320,7.3170731707317138E-2,640,0.10344827586206895,8900,5.3254437869822535E-2,3860,4.8913043478260976E-2,
86-87,6660,8.8235294117646967E-2,1410,6.8181818181818121E-2,660,3.125E-2,9850,0.10674157303370779,4050,4.9222797927461093E-2,
87-88,7050,5.8558558558558627E-2,1490,5.6737588652482351E-2,740,0.1212121212121211,10460,6.1928934010152314E-2,4200,3.7037037037036979E-2,
88-89,8000,0.13475177304964547,1580,6.0402684563758413E-2,800,8.1081081081081141E-2,11660,0.1147227533460804,4460,6.1904761904761907E-2,
89-90,8660,8.2500000000000018E-2,1700,7.5949367088607556E-2,840,5.0000000000000044E-2,12560,7.7186963979416712E-2,4720,5.8295964125560484E-2,
90-91,9340,7.8521939953810627E-2,1910,0.12352941176470589,910,8.3333333333333259E-2,13480,7.3248407643312197E-2,5070,7.4152542372881269E-2,
91-92,9810,5.0321199143468887E-2,2110,0.10471204188481686,1170,0.28571428571428581,14190,5.2670623145400608E-2,5450,7.4950690335305659E-2,
92-93,10450,6.523955147808369E-2,2330,0.10426540284360186,1120,-4.2735042735042694E-2,15030,5.9196617336152224E-2,5830,6.9724770642201728E-2,
93-94,11010,5.3588516746411408E-2,2540,9.0128755364806912E-2,1250,0.1160714285714286,15800,5.1230871590153049E-2,6210,6.5180102915951998E-2,
94-95,11720,6.4486830154405039E-2,2710,6.692913385826782E-2,1310,4.8000000000000043E-2,16500,4.4303797468354444E-2,6620,6.602254428341392E-2,
95-96,12220,4.2662116040955711E-2,2810,3.6900369003689981E-2,1330,1.5267175572519109E-2,17380,5.3333333333333233E-2,6740,1.812688821752273E-2,
96-97,12990,6.3011456628477847E-2,2980,6.0498220640569311E-2,1470,0.10526315789473695,18360,5.6386651323360182E-2,7140,5.9347181008902128E-2,
97-98,13790,6.1585835257890631E-2,3110,4.3624161073825496E-2,1570,6.8027210884353817E-2,19360,5.4466230936819127E-2,7470,4.6218487394958041E-2,
98-99,14710,6.6715010877447467E-2,3250,4.5016077170418001E-2,1550,-1.2738853503184711E-2,20460,5.6818181818181879E-2,7770,4.016064257028118E-2,
99-00,15520,5.5064581917063204E-2,3360,3.3846153846153859E-2,1650,6.4516129032258007E-2,21480,4.9853372434017551E-2,8080,3.9897039897039965E-2,
00-01,16070,3.5438144329897003E-2,3510,4.4642857142857206E-2,1640,-6.0606060606060996E-3,22240,3.5381750465549366E-2,8440,4.4554455445544594E-2,
01-02,17380,8.151835718730549E-2,3770,7.4074074074074181E-2,1610,-1.8292682926829285E-2,23860,7.2841726618705138E-2,9030,6.9905213270142097E-2,
02-03,18060,3.9125431530494748E-2,4100,8.7533156498673659E-2,1670,3.7267080745341685E-2,24870,4.2330259849119756E-2,9670,7.0874861572536085E-2,
03-04,18950,4.9280177187153829E-2,4650,0.13414634146341453,1910,0.14371257485029942,26060,4.7848813831925963E-2,10530,8.8934850051706205E-2,
04-05,20050,5.8047493403693862E-2,5130,0.10322580645161294,2080,8.9005235602094279E-2,27470,5.4105909439754463E-2,11380,8.0721747388414089E-2,
05-06,20980,4.6384039900249308E-2,5490,7.0175438596491224E-2,2180,4.8076923076923128E-2,28740,4.623225336730985E-2,12120,6.5026362038664409E-2,
06-07,22310,6.3393708293612905E-2,5800,5.6466302367941701E-2,2270,4.1284403669724856E-2,30500,6.1238691718858762E-2,12840,5.9405940594059459E-2,
07-08,23420,4.9753473778574531E-2,6190,6.7241379310344795E-2,2290,8.8105726872247381E-3,31990,4.8852459016393457E-2,13560,5.6074766355140193E-2,
08-09,24820,5.977796754910325E-2,6600,6.6235864297253588E-2,2380,3.9301310043668103E-2,33800,5.6580181306658428E-2,14370,5.9734513274336321E-2,
09-10,25740,3.706688154713933E-2,7070,7.1212121212121282E-2,2570,7.9831932773109182E-2,35070,3.7573964497041423E-2,15240,6.0542797494780753E-2,
10-11,26770,4.0015540015539974E-2,7630,7.9207920792079278E-2,2740,6.6147859922178975E-2,36470,3.9920159680638667E-2,16180,6.1679790026246684E-2,
11-12,27880,4.1464325737766261E-2,8280,8.5190039318479682E-2,2970,8.3941605839416011E-2,37970,4.1129695640252262E-2,17160,6.0568603213844163E-2,
12-13,28990,3.9813486370157802E-2,8650,4.4685990338164228E-2,3150,6.0606060606060552E-2,39450,3.8978140637345282E-2,17820,3.8461538461538547E-2,
13-14,30130,3.9323904794756892E-2,8890,2.7745664739884379E-2,3240,2.857142857142847E-2,40960,3.8276299112800949E-2,18380,3.1425364758698171E-2,
14-15,31280,3.8167938931297662E-2,9150,2.924634420697414E-2,3340,3.0864197530864113E-2,42450,3.6376953125E-2,18930,2.992383025027201E-2,
15-16,32340,3.3887468030690426E-2,9430,3.0601092896174853E-2,3400,1.7964071856287456E-2,43880,3.368669022379267E-2,19570,3.3808769149498152E-2,
16-17,33500,3.5868893011750114E-2,9670,2.5450689289501671E-2,3460,1.7647058823529349E-2,45350,3.3500455788514127E-2,20150,2.9637199795605529E-2,
17-18,34710,3.6119402985074656E-2,9980,3.2057911065149991E-2,3540,2.3121387283236983E-2,47000,3.6383682469680156E-2,20790,3.1761786600496222E-2,
18-19,35680,2.7945836934601065E-2,10210,2.3046092184368705E-2,3630,2.5423728813559254E-2,48290,2.7446808510638299E-2,21400,2.9341029341029445E-2,
19-20,36880,3.3632286995515681E-2,10440,2.2526934378060748E-2,3700,1.9283746556473913E-2,49870,3.2718989438807133E-2,21950,2.5700934579439227E-2,
20-21,37270,1.0574837310195262E-2,10570,1.2452107279693481E-2,3750,1.3513513513513598E-2,50580,1.4237016242229839E-2,22290,1.5489749430523947E-2,
21-22,38070,2.1464985242822587E-2,10750,1.7029328287606393E-2,3800,1.3333333333333419E-2,51690,2.1945432977461543E-2,22700,1.8393898609241788E-2,
22-23,39940,4.912004202784348E-2,10990,2.2325581395348904E-2,3890,2.3684210526315752E-2,53970,4.4109112013929197E-2,23300,2.6431718061673992E-2,
23-24,41740,4.5067601402103197E-2,11310,2.9117379435850799E-2,3950,1.5424164524421524E-2,56390,4.4839725773577976E-2,24080,3.3476394849785374E-2,
24-25,43250,3.6176329659798778E-2,11610,2.6525198938992078E-2,4040,2.2784810126582178E-2,58500,3.7417981911686438E-2,24920,3.488372093023262E-2,
25-26,45000,4.0462427745664664E-2,11950,2.9285099052540842E-2,4150,2.7227722772277252E-2,60920,4.1367521367521309E-2,25850,3.7319422150882797E-2,
,,,,,,,,,,,
NOTE: Average tuition and fees reflect in-district prices for public two-year institutions and in-state prices for public four-year institutions.,,,,,,,,,,,
"SOURCES: 1987-88 and after: data from Annual Survey of Colleges, the College Board, weighted by full-time undergraduate enrollment; 1986-87 and prior: data from Integrated Postsecondary Education Data System (IPEDS), U.S. Department of Education, National Center for Education Statistics, weighted by full-time equivalent enrollment.",,,,,,,,,,,
This table was prepared in October 2025.,,,,,,,,,,,
