"TABLE CP-5. Average Published Tuition and Fees at Public Institutions by State in Current Dollars and in 2025 Dollars, 2004-05 to 2025-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trends in College Pricing 2025
,Public Two-Year In-District Tuition and Fees,,,,,,,,,,,,,,,,,,,,,,,,,Public Four-Year In-State Tuition and Fees,,,,,,,,,,,,,,,,,,,,,,,,,research.collegeboard.org/trends
Florida,3034.0794407240764,3163.8190355114316,3243.8315902624295,3153.998941829951,3427.7049787231326,3831.6648478870657,4094.6872074925536,4272.8581820335767,4334.8829370723024,4341.8594045540021,4319.3535831647941,4393.8779387691466,4337.9866971734809,4256.0347524876624,4162.6024522517637,4077.9148360003169,4024.7144858012798,3852.6064676581,3567.4123788674729,3421.735180844531,3317.82011847894,3231.6192021322827,-2.5981190440841684E-2,-0.19705628472949921,FL,Florida,5205.6621415569261,5297.2123820209636,5294.5847965140092,5258.2178321202437,5720.3191726073219,6477.6598055153054,7433.3412919284219,8050.4369902032959,8744.0941807330328,8728.3387432592826,8615.2998844371687,8640.2726756280681,8525.2213766263612,8354.4385882165225,8146.7275705873899,8015.9761733859505,7919.3067042986822,7563.9838313930341,7002.1799596411602,6723.1639202620527,6526.917462283518,6358.5622729886263,-2.57939816563868E-2,-0.19708094276268751,Florida
Georgia,3536.9184491586843,3640.2878741059094,3571.2493529427829,3292.2096290888708,3146.5494220041323,3896.2013102682422,4134.5561417162462,4473.2602408224211,4649.0252139743388,4736.5192249158381,4895.6038103428773,4997.174962226607,5057.4133158633485,4978.5097876321734,4874.8432853423465,5114.1767852392804,4990.7175516488369,4783.8245714174518,4389.6983506100087,4239.9291996988841,4338.2198000861481,4238.4397760789743,-2.3000223272502729E-2,-0.15073539381552947,GA,Georgia,5814.1825687133842,6063.8490946383763,6243.2977283780583,6492.7964430285701,6659.4983727112167,7516.2465954635427,8670.7548800563563,10446.673036007051,10572.851006984176,10812.757638441984,10948.035924866443,11475.192122323591,11289.859224120044,11270.610548254364,10955.383576965864,11070.10037279718,11028.797190595786,10558.105242771593,9122.0274435633437,8818.0493135468205,8754.5179873322631,8537.4970197455405,-2.4789596400481506E-2,-0.22589046908710653,Georgia
Hawaii,2485.2178789751142,2514.2386811646343,2766.2808046944992,3021.9999708523314,3278.1541506811109,3666.5715720282419,4001.6596943039381,4244.229316492313,4343.2974623464643,4495.0801581193919,4749.8200464833672,4977.2803828927554,5157.2346175203147,5057.3252460115746,5027.0187896916186,5060.8017854547152,4997.73582458699,4773.4767926234754,4421.4641537747157,4246.0681792977794,4123.7479175494227,4017.4686431014825,-2.5772495451443E-2,-0.19614225639197647,HI,Hawaii,5771.5690934223157,5755.5457284890081,6751.1945504870946,7791.0451458202187,8708.3447168869116,9962.6287740988409,11012.685608899916,11978.317342464647,12079.05103105912,12540.658475502734,13188.102332279506,13822.369310552665,14288.859660147247,13937.200223424104,13850.040357483407,13830.645113065864,13684.196372881119,13070.157388130548,12215.256412049624,11819.285398260668,11534.739887227035,11456.589248434237,-6.7752406692186407E-3,-0.16278684284752587,Hawaii
Idaho,3064.7611429336457,3092.9257481081008,3160.7792797288762,3248.7276151197725,3337.9744818979198,3629.0503729694183,3771.3058521226044,3995.1581862833209,4367.138617289922,5110.1437565516435,5099.2852957042087,5259.5972230499428,5387.6150915469498,5385.7229892590785,5374.6473689901941,5274.9842158229076,5194.7208593518071,4961.6226900752854,4621.02055868969,4438.9415173585649,4352.0299136361382,4562.0009596928985,4.8246691825086341E-2,-0.12180055806460766,ID,Idaho,6120.9995908090777,6466.1272836247181,6637.7962034124357,6804.9351861638825,6897.2841892980314,7333.1431440564838,7870.4229411955685,8133.4607002729599,8399.0986444924038,8742.670523613835,8974.7248105926428,9262.8871069581273,9408.4678459594033,9523.5345541776387,9734.2962244218979,10073.743193882048,9942.7889155684279,9506.6241946944665,9006.0211645349136,9091.7157355467716,9098.6205709782844,9174.0936476059615,8.2950020872847308E-3,-7.7311836195058214E-2,Idaho
Illinois,3392.0326331690517,3539.7183268593244,3675.0647411097243,3789.1469315928512,3883.835004251298,4095.8140892611837,4444.6478523449641,4511.9092093031268,4556.4654359585602,4690.2931432221485,4819.880021606773,5092.2001787099716,5226.4597003166109,5333.1793503394783,5306.431102651758,5276.0602300334031,5453.3896974418849,5251.3797368416781,4929.5598291494771,4831.7406096713248,4826.1783915958658,4825.2382725241996,-1.9479575668057691E-4,-0.11518550108611214,IL,Illinois,11069.276341607951,11398.981142014611,12869.913813064823,14130.101610886621,14986.488478090974,15623.827288094146,16197.123685173394,16647.685312244725,17064.657255999926,17388.362703455026,17397.003500132258,17697.201276222022,18030.880990528018,17996.196329963263,17951.826482688459,17880.280900642247,17977.354384833106,17429.001273246693,16516.933653664444,16037.343310562197,15738.472969455563,15677.210575114095,-3.8925246725246554E-3,-0.12794673568095016,Illinois
Indiana,4404.5288060848388,4497.60204735549,4603.0145953403844,4663.4459981857917,4691.4094756782142,4921.2804685553028,5081.0741727305722,5064.4463142495124,5132.8604172386367,5264.687553618036,5682.6667966348714,5873.9768918970976,5981.0295067777079,6016.2466562942882,6026.2692519176953,6051.6690659295209,6179.7822555054554,5938.0989383771839,5560.0637241454669,5599.541968139778,5669.7614890912655,5523.6375869028934,-2.5772495451443111E-2,-0.10617601745077909,IN,Indiana,9966.439601075097,10147.632185290704,10469.382606681549,10676.387358483955,10800.560801194792,11470.98097626355,11795.298021439063,11942.531260538068,12222.097960719868,12336.628451941067,12286.356008217614,12389.035389611396,12402.73198255693,12321.483326646381,12165.151176230609,12205.61710778933,12207.537569184165,11807.756469680315,11106.686039131235,10975.065875785749,10927.632997030336,10647.434284276271,-2.5641299706003262E-2,-0.12779836032174974,Indiana
Iowa,4977.2539139967994,5094.4246064253903,5114.1057370853268,5172.8067332523715,5252.2250808357949,5554.6383086682454,5776.5655808549836,5884.6633120067117,5961.6911567435636,6064.2188925603232,6152.2856297689459,6434.3579219413195,6591.4451170065686,6659.9062330593979,6826.2672372712523,6903.5089289013604,7052.5816462392131,6875.1145034712708,6650.3398303560643,6656.2895893304367,6660.8623617771946,6679.0856718082132,2.7358784855833207E-3,-5.2958759382837672E-2,IA,Iowa,9216.4424359522927,9263.939114402674,9423.24292592237,9656.11295928047,9620.6047679432431,10073.691523312958,10565.267569278478,10824.574061151729,10982.357903660044,10832.786631672363,10683.832457579119,10701.477629607807,11094.449574182714,11507.056923392569,11643.720275245563,11799.798740194592,11661.991830947643,11488.021852676702,11128.988429695053,11176.954442195145,11157.392193713817,11182.994315325421,2.2946331156152855E-3,-4.1073388025457014E-2,Iowa
Kansas,3011.9204335727204,3046.7626772408157,3013.8405764772056,2994.0472475864822,2967.0884283537061,3183.2985281505939,3368.1866283052705,3381.0690204232192,3529.8933525108328,3515.6975582130171,3643.5488136796653,3775.3113196805407,3953.8499545655745,3980.1806481597582,4030.715659085492,4067.7297177225123,4087.4417140126825,4024.5242322050449,3825.6178050818976,3783.2439514433672,3844.1772166425158,3874.3183173631269,7.840715716778579E-3,-5.2141024034402794E-2,KS,Kansas,7230.6544873885005,7747.152500191879,8325.9941309886981,8923.1304380870988,8988.0047653254915,9473.352338371782,9785.6084111262717,9905.5874772771695,10209.623999316194,10682.833157039257,11229.612722826992,11469.780939234191,11948.875900247682,11664.687840151371,11656.879426741036,11600.461702056324,11541.311933705065,11125.759683072734,10403.450050333597,10476.571590218515,10611.143508969859,10583.977630578782,-2.5601273197476404E-3,-8.2948481821247588E-2,Kansas
Kentucky,4721.5730622503879,4959.2327560283411,5222.7126047061274,5357.6052926210396,5509.4525050680713,5641.6874904847155,5758.8460545333428,5798.7767153829218,5891.5701127922166,5973.1774751765506,6067.4293886177411,6321.2172007783938,6587.2998688424468,6699.313962249098,6816.4542354650421,6876.6026109786199,6979.4175759223835,6666.2362705910164,6271.3033777180881,6150.164291271717,6066.3439434170441,6090.0008782715613,3.8997022053437469E-3,-0.12743422899915524,KY,Kentucky,7629.5166161129018,8291.2172639848814,9206.0291906807688,9750.841632570291,10182.915881381243,10680.034100103549,11102.75986770159,11414.328691301756,11867.28547832605,12025.633486794008,12523.539064068686,12996.317619291691,13376.441540445943,13556.258841256998,13739.117320208779,13768.487141565412,13697.170000635762,13271.692676475775,12553.83160100508,12531.369879705817,12354.310672950043,12455.112750349168,8.1592636017995268E-3,-9.067984483137348E-2,Kentucky
Louisiana,2962.488802235081,3035.2219095239943,2994.6746586617701,2973.8591696722583,2911.7546219781584,3075.2374748611819,3266.2993519558345,3866.3282913476355,4208.6650579598763,4672.6597581185961,4929.8753825215763,5392.7997432383318,5439.7682350920668,5438.2666281786796,5373.6810131828915,5277.0989523624366,5221.6215544278721,4991.3159258572177,4611.536260611666,4621.3576775794299,4609.5877576570238,5310.3573305307409,0.15202434788439878,1.6993911791179483E-2,LA,Louisiana,6023.8408671454408,6091.8766733792281,6021.2925136825988,5947.7183393445166,6091.2052261515355,6426.6309747953055,6988.8765066939259,7509.3514314734157,8239.2226642833302,9129.8318514841303,9961.8441219878878,11044.685259285863,11984.442253381385,12229.53195853708,12188.85486687206,12392.385179040331,12354.242605500389,11933.256402892801,11258.191436186542,10938.004083837928,10559.805723391546,10730.630108270241,1.6176849210425726E-2,-0.13142145164830088,Louisiana
Maine,4423.2787352129089,4636.0912599573448,4673.289627330314,4845.1386994138093,4719.8241330061983,4856.7440061741263,4813.8046507124864,4765.2746693433091,4674.2687897968244,4696.5989966625784,4747.0229335390759,4742.3452221546695,4744.0561453236996,4755.1993222238698,4823.9918587535694,4740.1362136600155,4773.4736186911459,4559.2777087023433,4228.390611201201,4062.8407017453137,4265.9445743394544,4156.0005372011819,-2.5772495451443223E-2,-0.12935508411990992,ME,Maine,9547.1230042109837,9999.250886074431,10566.809355576677,11389.181801763103,12080.715889234496,12823.244990343552,13208.430245589936,13406.897732973695,13130.866690329332,12980.008562266226,12980.988745021798,13004.872376643072,12995.760541972411,13004.550632601191,13093.187611536565,13248.589009130657,13435.807216683914,13108.464720490641,12364.140119713151,12495.110244898378,12644.390113449925,12793.895406641481,1.1823843763925534E-2,-4.7776199798798769E-2,Maine
Maryland,5076.1171766720781,5099.3706497325993,4986.3329516490912,5050.1253366967012,4978.5470655188956,5093.8779842258909,5267.1291991078033,5307.7916713502527,5449.8075358987271,5517.4530076024721,5623.4229596290324,5806.605900021711,5925.6564480202805,5950.567107644787,6002.0122099800346,5995.5797705237865,5997.4930167380699,5769.797466605427,5401.3872585240688,5222.9364896060315,5126.1160885280633,5068.4242282036666,-1.1254497426132715E-2,-0.1549095240197057,MD,Maryland,11539.729108821346,11766.637027850487,11525.105246348445,11358.123220356603,11054.797208866228,11220.339366550608,11424.66459587807,11395.719928699935,11513.875416811259,11720.403845716384,11808.605753402009,12448.32479495583,12554.349162903785,12728.696528273287,12704.066543291345,12760.648963013151,12609.752120791558,12259.446861086999,11632.697212334844,11432.711459621107,11411.541969718533,11478.656051453263,5.8812456645054301E-3,-8.9700103420216282E-2,Maryland
Massachusetts,5728.9556181312473,5767.0864962058295,5716.234988453587,5736.5199857803245,5869.8700006493436,6440.1386064564822,6783.6253268015835,6895.2622656133135,7171.9803753438218,7107.4436672038528,7220.3481000055208,7739.1208437744417,7822.8513820880016,7934.0894768597163,8040.5427808414688,8260.2081010153197,8475.0370604625641,8128.2312210494629,7581.9287737233271,7462.9776345736846,7657.9395155801558,7613.8342392611476,-5.7594182128594129E-3,-0.10161640769915548,MA,Massachusetts,11989.727407895029,12093.075886126289,12111.262899537174,12247.951577652793,12321.492722382151,13866.334324178848,14010.238811644194,14550.620911347172,14934.37994075799,14855.396256205227,14918.147765952441,15778.315691648366,16518.109946067147,16800.828544542346,16949.621229872795,17250.687397249883,17394.685753614209,16618.790028241438,15939.63132140187,15736.729664548744,15696.380876471982,15896.316412506092,1.2737683776124609E-2,-8.6139488941143427E-2,Massachusetts
Michigan,3400.5553282272654,3505.0960237088602,3563.263553853018,3616.7718047867829,3671.4728284316275,3792.6428008658891,3978.0336592084168,4095.3592156777431,4266.1643139999815,4457.2555142389592,4593.9639526162955,4721.6000308699122,4812.0096050081147,4952.2379681723723,4951.1376029398843,5031.699534744268,5062.2815252660648,4892.0605118825724,4716.4226814032972,4670.2660683864215,4649.819579833068,4624.3807887833982,-5.4709200245105505E-3,-8.6502643975267857E-2,MI,Michigan,10728.368539279401,11700.689783754366,12255.00728315294,13198.344168691656,13653.990600236562,14649.776960527084,14965.616605819341,15518.276566641878,15697.296898948651,16033.233875230349,15775.316316810831,16294.168653288767,16738.462631134546,17155.498107249652,17241.970291583879,17361.182282464903,17386.265047798865,17038.324800055871,16353.441619923355,16338.272482623077,16421.269772790918,16695.980833574293,1.6728978001357309E-2,-3.9702846604881548E-2,Michigan
Minnesota,6468.7255491841961,6616.1572639433944,6810.2894637513537,6904.3226466646784,6822.5087752770205,7112.5184935906009,7293.0617085487638,7387.6787529230451,7529.5976994956936,7426.5811178212234,7320.5036210383469,7323.0974480195482,7210.9789759559826,7159.0708027956052,6983.04086587035,7057.7994538660914,7006.4588828238957,7010.7849844861166,6755.9245656844932,6503.7967936852128,6344.2914307209658,6411.5769514379008,1.0605679365723653E-2,-8.4904791612254837E-2,MN,Minnesota,11016.435632247025,11448.441575086701,12007.447511370234,12109.740890393874,12438.142368254927,13189.451893157669,13861.099465103714,14340.198749618887,14530.482727598228,14463.531147906513,14368.460185331518,14714.396257615508,14779.418166220765,14896.121633706818,14785.561978298307,14964.493810194443,14963.323502081508,14793.853095028217,14325.074674914569,14204.936814791456,14252.85692514668,14727.874116891457,3.3327858003449951E-2,-1.5735099569109678E-2,Minnesota
Mississippi,2635.2173119996751,2750.0000788082689,2703.991571794334,2653.9557811853206,2647.0496563437805,2784.0729701647106,3128.9730229631164,3156.3324259243004,3176.4832909960414,3307.3115486691991,3440.1057001200425,3511.8210788081665,3716.6288915305681,4058.9961065391594,4091.1853411532297,4201.6679620800342,4298.6213249766979,4254.7346770422619,4105.9623950061032,4057.1880658220343,4104.2231711476106,4119.8928694284732,3.8179449867685733E-3,-4.1578087958048626E-2,MS,Mississippi,6802.8151954661735,6898.0817324543141,7107.3611898906011,7387.283587535735,7398.2794632388031,7432.1991095717776,7817.264362230645,8120.5777107793911,8637.5101939269844,9073.9283087580698,9328.6447914722266,9709.5628825381918,10035.99511278004,10443.048235270653,10791.406113411616,10836.869792752907,10780.391824729186,10542.899460718752,10022.197802278946,9924.5244017339064,9978.9905407839506,10106.936047166624,1.2821487890960714E-2,-6.2470436001938134E-2,Mississippi
Missouri,3668.1679530551755,3757.3442323765253,3818.8091247254893,3890.0873211639723,3867.3844131666756,3872.1877428705952,3809.6981591528265,3916.4288060448466,4050.1914986298311,4127.0442924924728,4186.2293990223307,4339.551561639043,4378.891279378724,4545.0247665454663,4592.9500679035564,4778.6816074285225,4913.2605794393266,4911.3755941398849,4749.3258494472384,4746.6497642025515,4842.9940858236105,4816.8194357924704,-5.4046421629458941E-3,-1.9628745939190839E-2,MO,Missouri,10114.734495088016,10338.879193169456,10423.064971960914,10629.799486374208,10809.533850877313,10828.618048376489,10736.556323721008,11000.6415842305,11142.233883869118,11185.944978641312,11417.839657250346,11619.913466153714,11575.105596055688,11165.523270415164,11091.067350326735,11350.92087357367,11609.495989217834,11649.021479013414,11325.886678348988,12436.452220668807,12807.118316040893,13091.887496412513,2.2235226796878171E-2,0.1276878435180504,Missouri
Montana,4032.9393015467217,4072.2423229355059,4107.8950517749718,4301.613524800081,4342.9560463403041,4469.5252318870671,4472.7037690208963,4371.6277681509364,4339.0901997093833,4380.9083223285288,4316.5480761226881,4414.9439429694503,4452.4868785229046,4781.4711416836699,4760.5873388477839,4799.9956146932282,4772.536841331279,4677.8809982144958,4303.8809756148357,4380.2426746726769,4416.2275340186879,4448.5150645624099,7.3111111904917703E-3,-6.7892985961421015E-2,MT,Montana,7615.8803040197599,8108.2136616181451,8397.866322796579,8233.6299308628259,7980.0321843222664,8232.1510735058964,8286.8318097541323,8418.3179124085309,8631.9005104108764,8604.5251165254485,8556.1107248845747,8627.9318251758632,8627.6514606391665,9076.9136233610334,9106.1922842873264,9078.0848873012619,8962.0116594549854,8632.4930552258229,8215.9546878238398,8315.6288117528784,8471.0465215146378,8778.1085594989581,3.6248418327587739E-2,-2.0520292423633291E-2,Montana
Nebraska,3005.1022775261495,3076.4389370840704,3215.0827135392765,3346.5621465502436,3349.9385481412814,3442.945225637653,3561.624790649852,3565.7252031643684,3647.6967063490965,3698.6052650426118,3758.6859913806165,3931.474840836147,4015.0563592021463,4058.9961065391594,4076.0137850376318,4122.9390971985731,4208.7662005904576,4049.9168646140938,3850.4595521425631,3765.4522543688781,3695.2490269534187,3739.0056630139002,1.1841322666298559E-2,-0.11161478570861305,NE,Nebraska,8045.4241349537306,8741.3072049409111,8351.5486880759436,8666.897141483485,8907.2473181827991,9356.2861973082527,9745.7394769025796,9885.5472713982854,10074.991594929608,10110.612568733621,9976.9940892439008,10335.415518111626,10590.166549305699,10889.66916608726,10934.322897547609,11014.35402523755,11293.965142985346,10804.857993341408,9921.3716261874251,9882.5198801499791,9765.5081040280202,9983.05075651894,2.2276634269668971E-2,-0.11607211195269285,Nebraska
Nevada,2710.217028511956,2708.7830512481928,2707.1858914302402,2737.8139509828675,2872.8714066872326,3034.7145798776523,3312.074794953407,3597.2169552597584,3786.5363733727645,3731.8734019932713,3672.3020859384546,3810.5904592294532,3903.9835928160519,4229.7629330278623,4363.009075929619,4485.7459427936537,4648.7816871749183,4513.1690869034937,4309.42109636244,4289.9455935396272,4404.7780752910066,4511.4925595238092,2.4226983155275716E-2,-2.9532281119989512E-2,NV,Nevada,4898.8451194612335,4977.3682481547739,5821.6475364384814,6130.9639696428594,6575.7499090076844,6818.3522929694236,7852.7034148739276,8650.2117232927649,8961.4694169822105,8827.9538587151928,8741.0680691567122,9049.0760520483709,9270.4910056541339,9628.6218320168409,9830.5830814660312,9988.1710331679187,10287.434347004644,9960.778872410292,9462.0448700205689,9310.9129628152969,9583.400008275712,9882.7342240605194,3.1234657379042741E-2,-3.9339266652229976E-2,Nevada
New Hampshire,7977.2425744880211,8546.7628348573526,8359.5344871657089,8710.3791554525833,8385.3149283161456,8842.9961941835445,9259.9291302509209,9625.0245949727887,9446.7070411255354,9308.5100842557167,8857.1502010950517,8846.6496129346142,8764.0773983684521,8984.9622552517321,9098.2578617757827,8939.4133701305072,8826.5378502767744,8430.4723311362213,7807.1635336902527,7494.9190544699422,7284.073958698058,7546.5409252669042,3.6032990337149018E-2,-0.14501687374169403,NH,New Hampshire,13781.197909131548,14152.278583027684,14577.27765845652,15060.306124011258,15393.266730365272,16621.891183058851,17639.788453193669,19327.347126906989,20496.381146978874,20251.084761920079,20035.712918176778,20594.706200941397,21062.106373870396,21122.542845679509,21232.872723275981,21292.922969029009,21119.991712870378,20189.792962404834,18807.336162522213,18264.251435170987,17939.988281667491,17995.087997283685,3.0713350951572238E-3,-0.14795951428723331,New Hampshire
