"TABLE CP-6. Published Tuition and Fees in Current Dollars and in 2025 Dollars, 2007-08 to 2025-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In 2025 Dollars,STATE,In-State Tuition and Fees,,,,,,,,,,,,,,,,,,,Percentage Change,,Out-of-State Tuition and Fees,,,,,,,,,,,,,,,,,,,Percentage Change,,In 2025 Dollars
,,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,1-Year,5-Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,1-Year,5-Year,
University of Hawaii at Manoa,HI,8370.2876890514217,9360.386327150125,10758.078194145901,11954.773758333831,13026.133821274891,13188.365946369437,13689.064508644948,14444.386966742317,15166.285747678588,15739.359282102381,15411.049295118906,15348.793179850751,15352.705543985227,15165.609812792471,14485.096657410899,13407.386484363617,12877.298775792198,12508.371959429353,12402,-8.5040611019857604E-3,-0.18222872979768445,22756.622596541656,25296.522563307935,29008.389416357699,31800.643238571811,34257.3005066759,35974.900388799317,37971.120777614495,40003.607294333808,42814.462703675956,45296.942277608658,44352.085612035007,43599.804987576041,43095.888294018579,42573.188498257448,40662.839016948397,37647.624382238166,36159.150624491827,35123.212843242538,34434,-1.9622716359079861E-2,-0.19118108803597345,University of Hawaii at Manoa
University of Iowa,IA,9772.5826395548411,9786.6061870698868,10241.786495096489,10952.143893967641,11115.157046395552,11299.305022320135,11141.715367951021,10988.342966507644,11009.278009601154,11168.612855736645,11775.029481882533,11882.812564551121,12103.322418186877,11955.825291299068,11811.473402351463,11390.667345529011,11585.976019841266,11581.483736931017,11622,3.4983654935147879E-3,-2.7921559839287013E-2,30227.764353874936,30894.210056920798,33686.532515011822,35015.26063875619,35927.794811008629,36854.218279949215,37223.36392188177,37279.303424806043,37888.544383980276,38118.173822227662,40206.392501278511,40049.1944349439,39759.603061367481,39276.316799824308,37917.919141754042,35554.989465673287,34794.913572173784,34253.806060899136,33710,-1.5875785012979704E-2,-0.14172196512706625,University of Iowa
University of Idaho,ID,6848.4172001329807,6927.1943549064354,7402.1821503247193,7976.7400991254144,8382.5318304819521,8711.8385005154123,9017.3118794830007,9226.9982280960339,9536.664810883527,9702.2712519744655,9836.1692057492637,10083.785260346391,10453.441838808645,10326.050979998154,9910.230198753643,9237.519852512467,9316.1222720649948,9324.3107565613191,9400,8.1174089339977051E-3,-8.9681038936563429E-2,22501.942229008368,22001.9178215422,22679.313559115333,25093.802525830673,26304.201659312901,26645.996701512049,27090.636547803006,27629.310437137799,28561.088459261431,29568.315596448727,31279.228248838339,32697.930333015385,34685.275691661453,34262.583613150506,32772.679722017441,30401.518409316879,29643.360024497189,29069.185449781653,28636,-1.4901877815943654E-2,-0.16421947850397767,University of Idaho
University of Illinois at Urbana-Champaign,IL,17284.100552716573,18305.021352343429,18802.62327235768,19337.909725684272,19808.312068000214,20365.956005229367,20387.086177555833,20428.878742040451,21227.909449411109,21060.046199321783,20844.061559405625,20521.477531356009,20415.697856275678,20652.101959996307,20046.233027934526,18855.718822339051,18568.840808158584,18106.653648804673,18046,-3.349798918182656E-3,-0.12619063982176726,39158.659437313661,38919.107489655675,39526.331936527131,40220.371495738254,40051.782892227631,40198.992076428491,40265.531832173321,40321.873447838298,41822.758243284938,42018.132689690297,42019.148044004738,41768.720888927179,42005.203880475412,42361.691068546643,40781.666717173262,38629.028349417902,38114.099150276794,37732.459644561219,38398,1.7638403690301452E-2,-9.3567819616381276E-2,University of Illinois at Urbana-Champaign
Indiana University Bloomington,IN,12170.305124136547,12309.528656138789,12926.803499745905,13330.990302647953,13633.065770749678,14070.488679277389,14110.627985536779,14128.841036772052,14112.090321290323,13936.282323770844,13836.053718503872,13695.944858311268,13787.208169811836,13958.830360913167,13463.178435477072,12594.053447706719,12458.83411838093,12465.260879313149,12142,-2.5932941351401673E-2,-0.13015634648018692,34655.165133371338,37042.244597728306,39281.693718663599,40886.330359993262,42284.834404446185,44152.416534405464,44713.372057215674,45211.475250610296,45837.123558977357,45943.581484391252,45772.077453837221,45464.228152446805,45985.068484166419,46778.25504191935,45570.423036235276,43040.615218476894,42776.387202040714,42998.170144468699,42294,-1.6376746780218165E-2,-9.5861956327804032E-2,Indiana University Bloomington
University of Kansas,KS,11097.231136542014,11522.891300637755,12315.958379068257,12895.385280574277,13200.769901076599,13572.629267222821,13969.646101461478,14210.447742798846,14674.509015265507,15367.742974470062,14218.308691643968,14294.765778527668,14068.06570355332,13896.625234527637,13273.054115117289,12286.253477013664,12363.728514423823,12608.964479700489,12453,-1.2369332941779665E-2,-0.10388315221603572,27263.22275862463,28278.566074465842,30294.616120094171,31803.596492958754,32362.069607844256,33304.691035132004,34378.847084362453,34997.035879590076,36190.420307968256,37884.739751729387,34931.011153750595,35080.391296103327,35307.444398694162,34872.193851728705,33307.404373029327,30844.910560408174,31080.511373182351,31423.871587557049,31332,-2.9236240767170907E-3,-0.10151910335154346,University of Kansas
University of Kentucky,KY,11019.584683025767,11569.252057330783,12191.387998192962,12713.760135777457,13066.214233032661,13569.824425464767,13774.759379357385,14232.209531072656,14856.547916213995,15186.630333566225,15463.592934038506,15701.417918736212,15566.812184057211,15526.39954582855,14984.172998355327,14147.840374399455,13961.50266090321,13859.185803070335,13907,3.4500004263651185E-3,-0.1042997470887338,23132.43143156029,23754.653526194692,25098.680474428278,26103.815526164213,26825.247012163898,27857.688340991332,29097.555132874943,30920.780913551775,32968.060061327837,35090.23878133906,36591.390143609977,37312.82646119273,38639.951278873399,38927.968092065334,37561.436041079454,35510.980319162984,35301.086731012161,35043.149408741017,35164,3.4486224354264294E-3,-9.6690587167649777E-2,University of Kentucky
Louisiana State University and Agricultural and Mechanical College,LA,7054.9567664861979,7606.1551142172129,7853.937386992955,8511.279143161586,9095.3905824594131,9821.1534158257309,10891.541632484064,11900.977962240609,13370.349724888272,14507.793323956286,14940.783726788479,15323.147744295446,15063.031854476072,14879.466231419028,14211.792946893713,13154.333891929378,12634.251121235149,12270.234564501761,12313,3.4852989381279897E-3,-0.17248375657453063,19944.268050183193,20638.014269798965,21634.723377317685,24436.703424736483,27715.604730497191,31244.534763841417,35657.35926837867,35998.078140185396,36686.272538163765,36881.241563610347,36847.540383343032,36707.594182087509,36069.412147185634,35643.537418909291,34032.253344400997,31510.548901376496,30264.716637016951,29397.650822095573,28997,-1.3628667968069053E-2,-0.18647244073432589,Louisiana State University and Agricultural and Mechanical College
University of Massachusetts Amherst,MA,15411.268093904695,15578.709757137378,17885.60516736003,17596.966264583036,18318.17961657745,18554.028229526546,18541.882106570272,18283.982485302917,19502.615388182894,20332.912485470821,20243.750484749187,20371.451733357466,20641.139553763238,20453.04555556261,19535.273916967613,18651.076291066143,18341.644087594384,18242.145614884164,18487,1.3422455356131735E-2,-9.6124831395972943E-2,31833.493012590923,32772.568457128589,35140.854190531827,35162.923358103202,36623.476243661331,37367.504321673077,37083.764213140545,37827.428466952668,41690.983814986401,43452.276490625132,43975.085002786873,44328.135357346742,44974.988923356228,45322.655084497921,43918.718003109665,41996.828286118798,41553.751826725471,41519.04951476759,41759,5.7792865693389039E-3,-7.862855955490633E-2,University of Massachusetts Amherst
University of Maryland: College Park,MD,12375.291761419439,11971.54378476382,12086.328640828257,12427.29446024426,12389.141562981778,12492.765190372069,12662.108235429761,12821.773628576255,13579.558611052953,13659.917849502766,13660.032528123211,13585.66948542345,13576.87988221171,13411.425248720494,13023.515944645074,12358.868568755663,12157.66637251676,12121.398692672019,12290,1.3909393759146793E-2,-8.3617156858662889E-2,34487.448793776246,34510.349078976877,36254.48337859771,36666.12984105575,37254.742728846191,38267.858526008378,39180.524194927129,40422.521718604679,42309.10097865478,42990.774650099796,44144.538238302586,45156.48292578313,46462.400346444541,45894.942247244806,45915.023366887377,43424.925090378107,42592.516367723641,42275.546325378084,42053,-5.264185675218358E-3,-8.3711669720544113E-2,University of Maryland: College Park
University of Maine,ME,12935.899155806741,13609.125351823955,14447.162485609437,14975.952996173632,15156.121417544895,14857.246792411508,14651.058541158767,14425.345402002733,14413.677157190059,14258.260352044332,14320.76878753719,14322.975757638504,14405.598524372685,14605.763675322691,14247.441256961172,13352.375051225739,13321.124927592027,13678.529848297681,13760,5.9560605274007195E-3,-5.7906159111122624E-2,31897.163104474246,33663.891392259036,35978.327353524772,37169.659714029054,37658.409732978005,38502.062812805882,38659.444093982143,38744.143797986973,39233.458652181798,39573.782825047398,39778.161844083763,39711.956957391623,39985.044758855045,40470.655226426505,39914.224505531754,37117.314166789016,37351.140860754225,37728.353827407293,37910,4.8145798627650116E-3,-6.3271899407115306E-2,University of Maine
University of Michigan,MI,16223.449997684638,16505.924890997911,17782.046657957679,17478.836089105429,18084.85436241615,18223.056902076187,18164.548240368727,18342.467291288784,18823.365757778083,19321.364846644945,19475.299765550026,19570.031872254149,19594.53591905842,19843.435316984403,19226.321896382968,18413.426899910512,18205.326055255868,18205.193260498851,18346,7.7344270662957904E-3,-7.5462504000137431E-2,48608.232830240915,49454.963325216086,52435.125260724795,53160.055592116631,54082.789894000874,54865.509629292334,55828.826093819334,56996.843712646289,59062.113862958999,60920.926099579709,62364.045033674156,63280.112232718013,64483.882186385861,65029.239123434163,63251.984829695008,60880.052825026782,61366.362588856435,62558.283065762458,63962,2.2438546351438937E-2,-1.6411680927227223E-2,University of Michigan
University of Minnesota: Twin Cities,MN,15350.703860162022,15903.235053988565,16940.070951077676,18019.281641915481,18640.254353916662,18875.182610823718,18822.463699386801,18532.882938684634,18733.704806564649,18972.555316015332,18938.041057597107,18840.419230705687,18925.767531539459,18835.712269538803,18263.817524561568,17448.526362672132,17431.800476404736,17829.510990914809,18482,3.6596012611769035E-2,-1.8778810404256774E-2,33411.268948041063,21885.268175669426,23306.668007378863,24368.778573836858,25797.470739232536,26237.892225715204,27461.059537334189,28393.693250255426,30172.268582581641,31937.537254494484,34945.460654453484,38943.876162510205,41971.198708228687,41602.788526643169,40353.886996363755,38616.925834127571,38475.500445313795,39536.966283710797,41368,4.6311942680427265E-2,-5.6435766677709331E-3,University of Minnesota: Twin Cities
University of Missouri: Columbia,MO,12577.172540561682,12689.387759365523,12758.708527962375,12552.807771689217,12867.243617520879,12982.210077152475,13013.180770283943,12829.934299178934,12917.969471038668,12769.111971279446,12856.114852653318,12669.101618676807,12933.300511171805,13150.163717901265,13189.874724959884,12766.349256294554,14923.12598980284,15222.317098173091,15548,2.1395093777542895E-2,0.18234269424604732,29125.184713944232,29249.150948458562,29539.689595030639,30294.483501232324,31182.5603475442,31470.324525364755,31194.315114661531,33268.333823589179,34187.992397534872,34736.062950238222,34818.042330073447,34555.942138997321,35629.863809626091,36091.414328885119,36183.034718471034,35174.706430677761,36269.050433508928,36993.412556854899,37820,2.2344179301510003E-2,4.7894650383136561E-2,University of Missouri: Columbia
University of Mississippi,MS,7659.0461748425987,7637.5607881060378,7663.3296957741313,8031.3753052838083,8290.9194607499085,8810.0079620472989,9343.5052583238939,9651.3530994353569,10112.668497466804,10402.573463469304,10902.805075817159,11104.473595447578,11120.950775503656,10985.425319684784,10611.31363008034,10144.108270624696,9945.9327160476096,10030.51130703624,10150,1.1912522632813394E-2,-7.6048518411734656E-2,17759.296848236001,18645.997240279241,19580.062516856506,20516.258226073402,21181.066170703798,22811.778018252367,24503.204322421003,26037.979669615343,28085.613717978067,29544.167244328215,30953.457687536815,31561.837537915322,31612.215681216505,31226.973445536587,30633.781117969891,29090.045843309868,28510.546608474768,29356.592650556333,30310,3.2476771428907591E-2,-2.9364787693430872E-2,University of Mississippi
University of Montana,MT,7983.6083505405113,7701.8676441641064,7999.5196393411907,8086.0105114422013,8190.7184313554862,8393.4889609762959,8355.2498944627132,8295.3216676234842,8365.6384480656343,8337.8893571655553,9277.8930422285066,9288.7767581319004,9262.0013593492495,9243.6817808899141,8900.1947468423004,8493.7652764883569,8614.4542606481209,8778.2370750894315,9188,4.6679409704413199E-2,-6.0237665261291262E-3,24076.612306317853,24563.723505902031,26706.088642108283,28309.896553208524,28770.578425692751,29558.824867251024,30019.466080700688,30428.42045385679,31310.690963140103,31753.741463355032,32670.321089234771,32004.221301244354,32929.601243071185,33914.234905391531,33842.129024041213,32604.176192157513,33415.882314795737,34561.53785850315,34312,-7.22010286477337E-3,1.1728558692775781E-2,University of Montana
University of North Carolina at Chapel Hill,NC,8292.6412355351749,8071.2581894279001,8442.2697882353095,9850.5800076389569,10031.554485658729,10788.823822354325,11527.342286156992,11337.891690655741,11670.867149615438,11491.93245912794,11828.886711775123,11522.596776741289,11322.46290733611,11184.481724118483,10692.116466233247,9899.8575074925175,9508.4469378449194,9231.539938256019,9087,-1.5657186040764159E-2,-0.18753499499180393,32592.875327979818,33342.357111968689,35433.519543190654,37337.995214084644,38411.348896713236,39891.861903921592,41633.885412904187,45465.81615106047,45744.745609242302,45500.861695515203,45434.484573778784,46373.461424624627,45548.139804320694,44999.188427293164,43847.421382974746,41322.388115848407,41569.60276071832,42292.607118337015,45220,6.9217602818194113E-2,4.9070123356471651E-3,University of North Carolina at Chapel Hill
University of North Dakota,ND,9519.455201091876,9740.2454303768591,10094.7033947859,10238.93295952159,10151.795720932036,10173.161056461495,10377.372408209436,10528.625189223378,10820.446612348616,10916.396733589079,11095.902948846693,11149.353107669363,12262.013222004936,12789.373984865184,12595.736223835565,12048.604085858031,11572.238543714127,11265.787455965805,11645.76,3.3728005744771972E-2,-8.9419074476868476E-2,22553.188888329089,22918.664397439792,23806.450378842394,24176.817038685749,24001.009426518252,24079.566492892729,24593.045719135658,25038.297520787131,25674.277530040992,25880.325597599476,26697.422935049151,26618.679834630053,17433.318305155331,18101.691778189535,17871.68611381952,17130.560279135199,16453.269484579396,16006.774523601804,16541.760000000002,3.3422440955194865E-2,-8.6176021407516901E-2,University of North Dakota
University of Nebraska - Lincoln,NE,9653.0071011398213,9847.9220265671156,10291.314477854135,10667.154845627914,10826.005504428791,11074.917681675823,11161.065822628023,10976.101960603626,11247.015380242838,11454.368355829367,11692.273250584161,11737.915853663641,11796.016417142382,11893.620164913536,11395.576451564441,10584.19973572772,10514.452881924533,10590.236830544924,10900.92,2.9336753693646189E-2,-8.3464929193049708E-2,25213.356385795709,25730.219964629796,26904.200573138871,27943.693009227944,28411.286163149896,28955.783889269434,29582.698675134066,30048.949270832207,30492.87440813271,30934.039066375444,31790.215137331455,31991.3985834667,32501.387962927216,33205.096464596478,31750.761500083612,29431.116728764711,29250.256861474481,29405.143938401481,30130.92,2.4681942149948011E-2,-9.2581464651794954E-2,University of Nebraska - Lincoln
University of New Hampshire,NH,17190.924808497075,17581.195344620046,19125.305584263562,20188.44698912304,21829.509975213416,23030.555675380572,22800.364310844816,22512.569969257893,23075.46844411219,23643.919876216532,23732.648109010679,23720.745616880457,23777.172105405833,23563.301874839162,22529.731962634181,20930.750080299807,20196.203364757959,19709.975247411981,19682,-1.4193446242736218E-3,-0.16471808133916954,37316.885559908282,37740.646964684543,40510.888199830661,40816.928881900167,40896.334425694906,40504.719828056368,40381.634560235339,40166.820706387392,41102.753635055837,42157.656501942147,42871.668585475258,43442.085558910912,44595.894225346427,45136.039705341333,44203.904483649341,41736.074093045252,41087.734367335652,40906.25630454444,40844,-1.5219262325290028E-3,-9.5091189509774798E-2,University of New Hampshire
"Rutgers, The State University of New Jersey: New Brunswick/Piscataway Campus",NJ,16594.600045492298,17258.16555604928,17839.078880527089,18578.923348240645,18256.627555663734,18333.848151519316,18657.984834632283,18787.223839134804,19196.953054500729,19281.117593110757,19228.3446626279,19200.73760025774,19404.358844641542,18698.860991490634,18774.776635528484,17893.018742426186,18216.950073517291,18403.298938175682,18824,2.2860089554466834E-2,6.6923332157136084E-3,30831.853762231338,32135.481929669579,34270.362372367119,35504.024239794795,36381.562329837652,37014.094260158286,38041.611719652152,38886.955533533859,40104.256678360769,40278.109761895656,40168.298363061796,40112.025752054404,40540.462572218246,39574.901406474855,39225.023844227544,37367.066073234986,38043.29831177539,38431.475015016767,39649,3.1680412591697182E-2,1.8723633134061224E-3,"Rutgers, The State University of New Jersey: New Brunswick/Piscataway Campus"
University of New Mexico,NM,7098.4387804552962,7229.2870275513187,7655.8254559623665,8130.3093272463038,8315.2539964599837,8483.2438972340206,8910.8843787594888,8768.6405625788811,9053.0390740353014,9323.9470687531157,9386.9210929866767,9388.7939567975936,9516.4104257877261,11022.748395516102,10112.237289135912,11107.908579200319,10880.081092692964,10570.220771440192,10383,-1.7712096605025152E-2,-5.8038918476660761E-2,23203.866168795237,23491.444068840734,25865.613783190634,27599.638873149412,28627.434097986436,29013.283145309539,28594.443311272888,28089.028214422066,28941.468252288127,29428.791784196885,28947.604271781056,28961.390372607275,29335.128591509754,30480.511928910215,29992.111536755627,29059.239440752655,35101.576308488802,34095.936589413352,33531.599999999999,-1.6551432395277788E-2,0.10009963343810768,University of New Mexico
University of Nevada: Reno,NV,6256.7512243391793,6821.0132669965997,7355.6558634917774,8211.5238228871585,8840.5936791421682,9260.1850642149493,9126.503730874656,9029.7820218646175,9349.191912891798,9582.8710664897135,9901.8487543987649,9955.5580825698598,10118.427919637188,10413.138156937897,10207.299449315802,9678.7115462782494,9523.2411429049153,9831.3791750709279,10309,4.8581263770210104E-2,-1.0000650655778931E-2,23043.91447455177,23413.677638258883,26562.007237722399,27835.899224104625,28301.065030816029,28767.859491479823,28352.562627810359,27948.936702409406,28245.9166307536,28244.180955174004,28539.07747918116,28512.595250389415,29074.422270951516,29883.342715609117,29326.676415496389,27878.694085613795,27441.136928423748,28453.31287669306,28941,1.7139906534624272E-2,-3.1534046394244175E-2,University of Nevada: Reno
State University of New York at Buffalo,NY,9656.11295928047,9399.2695424410504,10525.446759981194,10537.211652602547,10710.058598986674,11203.940402546303,11646.209364887149,12065.551486061309,12852.761506519806,12844.240177876594,12909.97208254591,12949.662683651857,13254.460471279781,13100.39961679284,12809.626084240319,11862.665441852005,11393.65135406134,11225.304098828114,11035.54,-1.6905029668454419E-2,-0.15761806335632567,19377.44893951459,18761.151377871596,22566.749961938862,22955.646349685987,24237.197567233678,26097.65013781251,28149.382853701838,30318.251400720623,33338.930359528866,35972.995208855544,35910.950019601143,35607.404996764868,35508.956530526622,35083.691281439511,34103.549964535916,31578.763078467466,32306.316935296167,32370.262441536521,32465.54,2.9433668829703663E-3,-7.4625878458365102E-2,State University of New York at Buffalo
Ohio State University: Columbus Campus,OH,13473.212614139171,12979.516365767045,13096.399319491788,13909.828162488227,13935.100302210007,14076.098362793497,13872.893828076467,13651.441806515315,13635.257080746147,13465.389457420866,13912.241994937294,13753.647088310707,13959.752932693376,14332.061119226355,14188.02740684874,13736.354854528128,13588.477347604781,13594.36059664224,13641,3.4307905124482119E-3,-4.8217846231432882E-2,34037.099363382011,33346.84363680995,33624.997748555354,34854.308274667957,35256.447914065997,35684.599266840742,35600.690079681735,36093.285963883325,37175.332272055224,39212.899118357527,39007.083942938625,39419.598992061139,40379.252866752286,41677.434678305806,41613.460618747311,40402.59695378309,40541.405509048716,41080.753533586205,42423,3.2673365285678546E-2,1.7888944639922411E-2,Ohio State University: Columbus Campus
